"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2008,"gaines","48165","Barack Obama","democrat",3.8,0.159822965330711
2008,"galveston","48167","Barack Obama","democrat",5.6,0.3981276903737
2008,"garza","48169","Barack Obama","democrat",3.8,0.214285714285714
2008,"gillespie","48171","Barack Obama","democrat",3,0.208785864807911
2008,"glasscock","48173","Barack Obama","democrat",3.8,0.0933572710951526
2008,"goliad","48175","Barack Obama","democrat",3.7,0.363611491108071
2008,"gonzales","48177","Barack Obama","democrat",3.9,0.344679497375537
2008,"gray","48179","Barack Obama","democrat",3.4,0.141768105250215
2008,"grayson","48181","Barack Obama","democrat",5.1,0.305649009389362
2008,"gregg","48183","Barack Obama","democrat",3.9,0.30898850035203
2008,"grimes","48185","Barack Obama","democrat",5.1,0.324921893775535
2008,"guadalupe","48187","Barack Obama","democrat",4.2,0.340405806873012
2008,"hale","48189","Barack Obama","democrat",4.4,0.27235240872976
2008,"hall","48191","Barack Obama","democrat",5.5,0.256329113924051
2008,"hamilton","48193","Barack Obama","democrat",3.5,0.228427739544733
2008,"hansford","48195","Barack Obama","democrat",3.2,0.114176974310181
2008,"hardeman","48197","Barack Obama","democrat",3.5,0.233855799373041
2008,"hardin","48199","Barack Obama","democrat",5.2,0.190271471355425
2008,"harris","48201","Barack Obama","democrat",4.7,0.504478126664572
2008,"harrison","48203","Barack Obama","democrat",4.6,0.339743099625354
2008,"hartley","48205","Barack Obama","democrat",3.3,0.125944584382872
2008,"haskell","48207","Barack Obama","democrat",3.2,0.330340264650284
2008,"hays","48209","Barack Obama","democrat",4.3,0.481457020930705
2008,"hemphill","48211","Barack Obama","democrat",1.9,0.137579617834395
2008,"henderson","48213","Barack Obama","democrat",5.2,0.27292794812541
2008,"hidalgo","48215","Barack Obama","democrat",7.1,0.690153229752875
2008,"hill","48217","Barack Obama","democrat",4.9,0.288974825599029
2008,"hockley","48219","Barack Obama","democrat",3.7,0.235055591890124
2008,"hood","48221","Barack Obama","democrat",4.2,0.225128341299345
2008,"hopkins","48223","Barack Obama","democrat",4.1,0.273240962922827
2008,"houston","48225","Barack Obama","democrat",6.4,0.307977736549165
2008,"howard","48227","Barack Obama","democrat",4.5,0.26266900608938
2008,"hudspeth","48229","Barack Obama","democrat",3.9,0.478841870824053
2008,"hunt","48231","Barack Obama","democrat",5.3,0.29108521880504
2008,"hutchinson","48233","Barack Obama","democrat",4.1,0.15089601643648
2008,"irion","48235","Barack Obama","democrat",3.5,0.200734394124847
2008,"jack","48237","Barack Obama","democrat",3.1,0.15547469401257
2008,"jackson","48239","Barack Obama","democrat",4,0.257267154439391
2008,"jasper","48241","Barack Obama","democrat",6.3,0.286318096430808
2008,"jeff davis","48243","Barack Obama","democrat",3.6,0.378640776699029
2008,"jefferson","48245","Barack Obama","democrat",6.6,0.508380900607049
2008,"jim hogg","48247","Barack Obama","democrat",3.8,0.736088154269972
2008,"jim wells","48249","Barack Obama","democrat",4.2,0.577506028246641
2008,"johnson","48251","Barack Obama","democrat",4.6,0.257982017982018
2008,"jones","48253","Barack Obama","democrat",4.9,0.263085399449036
