"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2012,"chester","42029","Barack Obama","democrat",5.6,0.493350478027408
2012,"clarion","42031","Barack Obama","democrat",9,0.3123687137032
2012,"clearfield","42033","Barack Obama","democrat",9.4,0.347890011574436
2012,"clinton","42035","Barack Obama","democrat",8.8,0.432265359969845
2012,"columbia","42037","Barack Obama","democrat",8.3,0.426843070678687
2012,"crawford","42039","Barack Obama","democrat",7.6,0.392308127048717
2012,"cumberland","42041","Barack Obama","democrat",6.2,0.400373599003736
2012,"dauphin","42043","Barack Obama","democrat",7.4,0.523877491774724
2012,"delaware","42045","Barack Obama","democrat",7.7,0.601588435517082
2012,"elk","42047","Barack Obama","democrat",7,0.412675630759934
2012,"erie","42049","Barack Obama","democrat",7.8,0.573567472327367
2012,"fayette","42051","Barack Obama","democrat",9.9,0.452963611998763
2012,"forest","42053","Barack Obama","democrat",9.8,0.387543252595156
2012,"franklin","42055","Barack Obama","democrat",7,0.30113510257142
2012,"fulton","42057","Barack Obama","democrat",9.2,0.211460855528652
2012,"greene","42059","Barack Obama","democrat",7.3,0.404590707964602
2012,"huntingdon","42061","Barack Obama","democrat",9.9,0.306650036850162
2012,"indiana","42063","Barack Obama","democrat",8.1,0.39847471159935
2012,"jefferson","42065","Barack Obama","democrat",8.3,0.264518981046582
2012,"juniata","42067","Barack Obama","democrat",7.3,0.267121132669114
2012,"lackawanna","42069","Barack Obama","democrat",8.8,0.630903433147988
2012,"lancaster","42071","Barack Obama","democrat",6.5,0.397781833875811
2012,"lawrence","42073","Barack Obama","democrat",7.9,0.448637155446255
2012,"lebanon","42075","Barack Obama","democrat",6.7,0.351714386709085
2012,"lehigh","42077","Barack Obama","democrat",8.5,0.532530169657556
2012,"luzerne","42079","Barack Obama","democrat",9.8,0.516775287490256
2012,"lycoming","42081","Barack Obama","democrat",7.9,0.326995461682404
2012,"mckean","42083","Barack Obama","democrat",8.4,0.350608948901244
2012,"mercer","42085","Barack Obama","democrat",7.6,0.476417041857539
2012,"mifflin","42087","Barack Obama","democrat",8.7,0.261010323132368
2012,"monroe","42089","Barack Obama","democrat",9.8,0.559801007676781
2012,"montgomery","42091","Barack Obama","democrat",6.4,0.566123241145075
2012,"montour","42093","Barack Obama","democrat",5.8,0.38986080960286
2012,"northampton","42095","Barack Obama","democrat",8.1,0.517122423222549
2012,"northumberland","42097","Barack Obama","democrat",9.1,0.393592677345538
2012,"perry","42099","Barack Obama","democrat",7.3,0.297208281053952
2012,"philadelphia","42101","Barack Obama","democrat",10.9,0.852937810631773
2012,"pike","42103","Barack Obama","democrat",10.1,0.438592723055114
2012,"potter","42105","Barack Obama","democrat",9.1,0.26194421430544
2012,"schuylkill","42107","Barack Obama","democrat",9.7,0.425208308070747
2012,"snyder","42109","Barack Obama","democrat",7.6,0.312425009998667
2012,"somerset","42111","Barack Obama","democrat",8.9,0.278003653290908
2012,"sullivan","42113","Barack Obama","democrat",7.8,0.350627331298745
2012,"susquehanna","42115","Barack Obama","democrat",7.6,0.384338284194192
2012,"tioga","42117","Barack Obama","democrat",7.6,0.31504351917196
2012,"union","42119","Barack Obama","democrat",6.4,0.375522498155889
2012,"venango","42121","Barack Obama","democrat",7.7,0.358415662922362
2012,"warren","42123","Barack Obama","democrat",6.8,0.40435863344702
2012,"washington","42125","Barack Obama","democrat",7.2,0.425804749340369
2012,"wayne","42127","Barack Obama","democrat",8,0.388577775720831
2012,"westmoreland","42129","Barack Obama","democrat",7.4,0.37578137900125
2012,"wyoming","42131","Barack Obama","democrat",8.9,0.426297169811321
2012,"york","42133","Barack Obama","democrat",7.4,0.386785323602619
2016,"adams","42001","Hillary Clinton","democrat",4,0.29941670702689
2016,"allegheny","42003","Hillary Clinton","democrat",5.2,0.565465441445654
2016,"armstrong","42005","Hillary Clinton","democrat",7.5,0.227022582073502
2016,"beaver","42007","Hillary Clinton","democrat",6.2,0.389261825274318
2016,"bedford","42009","Hillary Clinton","democrat",5.8,0.154207386724204
2016,"berks","42011","Hillary Clinton","democrat",5,0.428465299210663
2016,"blair","42013","Hillary Clinton","democrat",5.3,0.25420240761988
2016,"bradford","42015","Hillary Clinton","democrat",6.5,0.24774389295161
2016,"bucks","42017","Hillary Clinton","democrat",4.6,0.485220608950993
2016,"butler","42019","Hillary Clinton","democrat",5,0.294464876224619
2016,"cambria","42021","Hillary Clinton","democrat",6.8,0.299134322678843
2016,"cameron","42023","Hillary Clinton","democrat",7.4,0.242909423604758
2016,"carbon","42025","Hillary Clinton","democrat",6,0.31053655824298
2016,"centre","42027","Hillary Clinton","democrat",4.2,0.48705153122866
2016,"chester","42029","Hillary Clinton","democrat",3.9,0.527090773809524
2016,"clarion","42031","Hillary Clinton","democrat",6.1,0.243684060450528
2016,"clearfield","42033","Hillary Clinton","democrat",7.3,0.239269353097371
2016,"clinton","42035","Hillary Clinton","democrat",7.1,0.308172015070807
2016,"columbia","42037","Hillary Clinton","democrat",5.5,0.31649426101743
2016,"crawford","42039","Hillary Clinton","democrat",6,0.292622426117572
2016,"cumberland","42041","Hillary Clinton","democrat",4.1,0.387158045339056
2016,"dauphin","42043","Hillary Clinton","democrat",4.8,0.494422030686472
2016,"delaware","42045","Hillary Clinton","democrat",4.9,0.596040774911468
2016,"elk","42047","Hillary Clinton","democrat",5.5,0.267087203660058
2016,"erie","42049","Hillary Clinton","democrat",6.5,0.469861496292823
2016,"fayette","42051","Hillary Clinton","democrat",8.1,0.333773504194022
2016,"forest","42053","Hillary Clinton","democrat",7.8,0.260724698042482
2016,"franklin","42055","Hillary Clinton","democrat",5.1,0.250462491574766
2016,"fulton","42057","Hillary Clinton","democrat",6.3,0.134692069118299
2016,"greene","42059","Hillary Clinton","democrat",7.7,0.284318700837351
2016,"huntingdon","42061","Hillary Clinton","democrat",7,0.230335938292906
2016,"indiana","42063","Hillary Clinton","democrat",7.3,0.305215779719354
2016,"jefferson","42065","Hillary Clinton","democrat",6.8,0.187390902556731
2016,"juniata","42067","Hillary Clinton","democrat",5.3,0.174191696958102
2016,"lackawanna","42069","Hillary Clinton","democrat",5.6,0.502464815960408
2016,"lancaster","42071","Hillary Clinton","democrat",4.1,0.377803676299811
2016,"lawrence","42073","Hillary Clinton","democrat",6.7,0.343753834073565
2016,"lebanon","42075","Hillary Clinton","democrat",4.5,0.306459697631175
2016,"lehigh","42077","Hillary Clinton","democrat",5.3,0.50513997502997
2016,"luzerne","42079","Hillary Clinton","democrat",6.3,0.388574857574658
2016,"lycoming","42081","Hillary Clinton","democrat",6.6,0.257490358943934
2016,"mckean","42083","Hillary Clinton","democrat",6.6,0.246993127147766
2016,"mercer","42085","Hillary Clinton","democrat",6,0.358121929304709
2016,"mifflin","42087","Hillary Clinton","democrat",5.7,0.20842965431966
2016,"monroe","42089","Hillary Clinton","democrat",6.2,0.486265626792063
2016,"montgomery","42091","Hillary Clinton","democrat",4.1,0.589118147080543
2016,"montour","42093","Hillary Clinton","democrat",4.3,0.333917718560075
2016,"northampton","42095","Hillary Clinton","democrat",5.2,0.461764644402483
2016,"northumberland","42097","Hillary Clinton","democrat",6.2,0.267271039266015
2016,"perry","42099","Hillary Clinton","democrat",4.6,0.218924283958786
2016,"philadelphia","42101","Hillary Clinton","democrat",6.7,0.825324215586937
2016,"pike","42103","Hillary Clinton","democrat",6.4,0.354622428259454
2016,"potter","42105","Hillary Clinton","democrat",7.8,0.16726618705036
2016,"schuylkill","42107","Hillary Clinton","democrat",6.2,0.266745136712847
2016,"snyder","42109","Hillary Clinton","democrat",4.7,0.244576177962476
2016,"somerset","42111","Hillary Clinton","democrat",7.2,0.206189025242501
2016,"sullivan","42113","Hillary Clinton","democrat",7.2,0.239158163265306
2016,"susquehanna","42115","Hillary Clinton","democrat",5.7,0.271589884959975
2016,"tioga","42117","Hillary Clinton","democrat",7.1,0.212878581173261
2016,"union","42119","Hillary Clinton","democrat",4.8,0.353789787039157
2016,"venango","42121","Hillary Clinton","democrat",7.2,0.27021586431386
2016,"warren","42123","Hillary Clinton","democrat",5.5,0.27910382987957
2016,"washington","42125","Hillary Clinton","democrat",6.1,0.358028585510104
2016,"wayne","42127","Hillary Clinton","democrat",5.7,0.291781164126905
2016,"westmoreland","42129","Hillary Clinton","democrat",5.8,0.327759803571527
2016,"wyoming","42131","Hillary Clinton","democrat",6.2,0.289942178940962
2016,"york","42133","Hillary Clinton","democrat",4.6,0.332663384890235
